lakeid,metric,sampledate,year,daynum
AL,secchi_all,1982-11-30,1982,334
AL,secchi_all,1983-07-20,1983,201
AL,secchi_all,1984-06-21,1984,173
AL,secchi_all,1985-07-11,1985,192
AL,secchi_all,1986-06-18,1986,169
AL,secchi_all,1987-03-19,1987,78
AL,secchi_all,1988-06-07,1988,159
AL,secchi_all,1989-05-29,1989,149
AL,secchi_all,1990-05-30,1990,150
AL,secchi_all,1991-05-21,1991,141
AL,secchi_all,1992-06-01,1992,153
AL,secchi_all,1993-06-04,1993,155
AL,secchi_all,1994-06-06,1994,157
AL,secchi_all,1995-07-10,1995,191
AL,secchi_all,1996-09-03,1996,247
AL,secchi_all,1997-07-31,1997,212
AL,secchi_all,1998-02-24,1998,55
AL,secchi_all,1999-07-28,1999,209
AL,secchi_all,2000-01-26,2000,26
AL,secchi_all,2001-05-29,2001,149
AL,secchi_all,2002-08-26,2002,238
AL,secchi_all,2003-05-29,2003,149
AL,secchi_all,2004-03-31,2004,91
AL,secchi_all,2005-05-31,2005,151
AL,secchi_all,2006-03-28,2006,87
AL,secchi_all,2007-02-23,2007,54
AL,secchi_all,2008-06-02,2008,154
AL,secchi_all,2009-02-23,2009,54
AL,secchi_all,2010-04-27,2010,117
AL,secchi_all,2011-03-16,2011,75
AL,secchi_all,2012-05-14,2012,135
AL,secchi_all,2013-03-27,2013,86
AL,secchi_all,2014-06-17,2014,168
AL,secchi_all,2015-03-23,2015,82
AL,secchi_all,2016-06-06,2016,158
AL,secchi_all,2017-05-03,2017,123
AL,secchi_all,2018-09-17,2018,260
AL,secchi_all,2019-06-18,2019,169
BM,secchi_all,1982-06-21,1982,172
BM,secchi_all,1983-02-17,1983,48
BM,secchi_all,1984-02-23,1984,54
BM,secchi_all,1985-03-27,1985,86
BM,secchi_all,1986-04-01,1986,91
BM,secchi_all,1987-05-21,1987,141
BM,secchi_all,1988-05-25,1988,146
BM,secchi_all,1989-03-31,1989,90
BM,secchi_all,1990-05-31,1990,151
BM,secchi_all,1991-03-26,1991,85
BM,secchi_all,1992-06-03,1992,155
BM,secchi_all,1993-06-02,1993,153
BM,secchi_all,1994-06-13,1994,164
BM,secchi_all,1995-03-23,1995,82
BM,secchi_all,1996-07-23,1996,205
BM,secchi_all,1997-06-17,1997,168
BM,secchi_all,1998-02-19,1998,50
BM,secchi_all,1999-03-24,1999,83
BM,secchi_all,2000-05-30,2000,151
BM,secchi_all,2001-01-18,2001,18
BM,secchi_all,2002-04-16,2002,106
BM,secchi_all,2003-06-09,2003,160
BM,secchi_all,2004-04-05,2004,96
BM,secchi_all,2005-04-04,2005,94
BM,secchi_all,2006-04-04,2006,94
BM,secchi_all,2007-03-30,2007,89
BM,secchi_all,2008-06-23,2008,175
BM,secchi_all,2009-02-24,2009,55
BM,secchi_all,2010-05-25,2010,145
BM,secchi_all,2011-02-16,2011,47
BM,secchi_all,2012-01-11,2012,11
BM,secchi_all,2013-03-29,2013,88
BM,secchi_all,2014-06-16,2014,167
BM,secchi_all,2015-05-19,2015,139
BM,secchi_all,2016-05-09,2016,130
BM,secchi_all,2017-02-21,2017,52
BM,secchi_all,2018-03-28,2018,87
BM,secchi_all,2019-03-25,2019,84
CB,secchi_all,1982-09-22,1982,265
CB,secchi_all,1983-09-29,1983,272
CB,secchi_all,1984-09-24,1984,268
CB,secchi_all,1985-10-24,1985,297
CB,secchi_all,1986-02-25,1986,56
CB,secchi_all,1987-07-27,1987,208
CB,secchi_all,1988-09-14,1988,258
CB,secchi_all,1989-08-09,1989,221
CB,secchi_all,1990-06-25,1990,176
CB,secchi_all,1991-10-08,1991,281
CB,secchi_all,1992-08-26,1992,239
CB,secchi_all,1993-09-09,1993,252
CB,secchi_all,1994-06-06,1994,157
CB,secchi_all,1995-10-04,1995,277
CB,secchi_all,1996-09-18,1996,262
CB,secchi_all,1997-08-26,1997,238
CB,secchi_all,1998-08-10,1998,222
CB,secchi_all,1999-05-19,1999,139
CB,secchi_all,2000-10-31,2000,305
CB,secchi_all,2001-10-17,2001,290
CB,secchi_all,2002-07-29,2002,210
CB,secchi_all,2003-10-15,2003,288
CB,secchi_all,2004-08-18,2004,231
CB,secchi_all,2005-10-19,2005,292
CB,secchi_all,2006-10-18,2006,291
CB,secchi_all,2007-11-08,2007,312
CB,secchi_all,2008-10-07,2008,281
CB,secchi_all,2009-09-16,2009,259
CB,secchi_all,2010-06-08,2010,159
CB,secchi_all,2011-08-24,2011,236
CB,secchi_all,2012-05-30,2012,151
CB,secchi_all,2013-09-05,2013,248
CB,secchi_all,2014-07-29,2014,210
CB,secchi_all,2015-06-16,2015,167
CB,secchi_all,2016-06-08,2016,160
CB,secchi_all,2017-11-06,2017,310
CB,secchi_all,2018-09-19,2018,262
CB,secchi_all,2019-09-25,2019,268
CR,secchi_all,1982-07-19,1982,200
CR,secchi_all,1983-02-21,1983,52
CR,secchi_all,1984-07-04,1984,186
CR,secchi_all,1985-03-28,1985,87
CR,secchi_all,1986-04-02,1986,92
CR,secchi_all,1987-06-22,1987,173
CR,secchi_all,1988-04-05,1988,96
CR,secchi_all,1989-03-29,1989,88
CR,secchi_all,1990-05-31,1990,151
CR,secchi_all,1991-08-01,1991,213
CR,secchi_all,1992-07-06,1992,188
CR,secchi_all,1993-09-07,1993,250
CR,secchi_all,1994-09-07,1994,250
CR,secchi_all,1995-10-05,1995,278
CR,secchi_all,1996-07-24,1996,206
CR,secchi_all,1997-03-31,1997,90
CR,secchi_all,1998-07-30,1998,211
CR,secchi_all,1999-08-25,1999,237
CR,secchi_all,2000-09-08,2000,252
CR,secchi_all,2001-06-13,2001,164
CR,secchi_all,2002-04-15,2002,105
CR,secchi_all,2003-08-07,2003,219
CR,secchi_all,2004-04-01,2004,92
CR,secchi_all,2005-09-20,2005,263
CR,secchi_all,2006-03-30,2006,89
CR,secchi_all,2007-07-04,2007,185
CR,secchi_all,2008-09-24,2008,268
CR,secchi_all,2009-07-23,2009,204
CR,secchi_all,2010-07-21,2010,202
CR,secchi_all,2011-10-06,2011,279
CR,secchi_all,2012-10-18,2012,292
CR,secchi_all,2013-03-26,2013,85
CR,secchi_all,2014-07-17,2014,198
CR,secchi_all,2015-10-06,2015,279
CR,secchi_all,2016-08-17,2016,230
CR,secchi_all,2017-10-16,2017,289
CR,secchi_all,2018-05-15,2018,135
CR,secchi_all,2019-10-22,2019,295
FI,secchi_all,1996-10-14,1996,288
FI,secchi_all,1997-06-10,1997,161
FI,secchi_all,1998-05-27,1998,147
FI,secchi_all,1999-01-28,1999,28
FI,secchi_all,2000-04-26,2000,117
FI,secchi_all,2001-01-09,2001,9
FI,secchi_all,2002-05-22,2002,142
FI,secchi_all,2003-05-28,2003,148
FI,secchi_all,2004-04-27,2004,118
FI,secchi_all,2005-02-11,2005,42
FI,secchi_all,2006-05-18,2006,138
FI,secchi_all,2007-05-18,2007,138
FI,secchi_all,2008-04-18,2008,109
FI,secchi_all,2009-01-23,2009,23
FI,secchi_all,2010-05-27,2010,147
FI,secchi_all,2011-02-21,2011,52
FI,secchi_all,2012-11-02,2012,307
FI,secchi_all,2013-02-14,2013,45
FI,secchi_all,2014-03-26,2014,85
FI,secchi_all,2015-05-12,2015,132
FI,secchi_all,2016-05-12,2016,133
FI,secchi_all,2017-05-05,2017,125
FI,secchi_all,2018-08-20,2018,232
FI,secchi_all,2019-05-03,2019,123
ME,secchi_all,1995-06-06,1995,157
ME,secchi_all,1996-05-04,1996,125
ME,secchi_all,1997-05-13,1997,133
ME,secchi_all,1998-02-06,1998,37
ME,secchi_all,1999-04-26,1999,116
ME,secchi_all,2000-02-28,2000,59
ME,secchi_all,2001-05-07,2001,127
ME,secchi_all,2002-05-20,2002,140
ME,secchi_all,2003-01-21,2003,21
ME,secchi_all,2004-05-10,2004,131
ME,secchi_all,2005-01-31,2005,31
ME,secchi_all,2006-03-06,2006,65
ME,secchi_all,2007-02-19,2007,50
ME,secchi_all,2008-05-28,2008,149
ME,secchi_all,2009-01-21,2009,21
ME,secchi_all,2010-02-01,2010,32
ME,secchi_all,2011-06-13,2011,164
ME,secchi_all,2012-05-01,2012,122
ME,secchi_all,2013-06-10,2013,161
ME,secchi_all,2014-02-03,2014,34
ME,secchi_all,2015-06-08,2015,159
ME,secchi_all,2016-05-11,2016,132
ME,secchi_all,2017-05-30,2017,150
ME,secchi_all,2018-11-30,2018,334
ME,secchi_all,2019-05-28,2019,148
MO,secchi_all,1995-05-23,1995,143
MO,secchi_all,1996-06-10,1996,162
MO,secchi_all,1997-04-21,1997,111
MO,secchi_all,1998-05-11,1998,131
MO,secchi_all,1999-04-30,1999,120
MO,secchi_all,2000-04-25,2000,116
MO,secchi_all,2001-05-09,2001,129
MO,secchi_all,2002-05-21,2002,141
MO,secchi_all,2003-05-27,2003,147
MO,secchi_all,2004-05-11,2004,132
MO,secchi_all,2005-02-03,2005,34
MO,secchi_all,2006-05-03,2006,123
MO,secchi_all,2007-02-26,2007,57
MO,secchi_all,2008-03-03,2008,63
MO,secchi_all,2009-02-05,2009,36
MO,secchi_all,2010-05-25,2010,145
MO,secchi_all,2011-01-26,2011,26
MO,secchi_all,2012-05-03,2012,124
MO,secchi_all,2013-05-15,2013,135
MO,secchi_all,2014-03-13,2014,72
MO,secchi_all,2015-05-13,2015,133
MO,secchi_all,2016-05-23,2016,144
MO,secchi_all,2017-05-04,2017,124
MO,secchi_all,2018-05-15,2018,135
MO,secchi_all,2019-05-29,2019,149
SP,secchi_all,1982-08-17,1982,229
SP,secchi_all,1983-09-06,1983,249
SP,secchi_all,1984-08-16,1984,229
SP,secchi_all,1985-03-26,1985,85
SP,secchi_all,1986-06-30,1986,181
SP,secchi_all,1987-06-29,1987,180
SP,secchi_all,1988-07-18,1988,200
SP,secchi_all,1989-03-29,1989,88
SP,secchi_all,1990-06-26,1990,177
SP,secchi_all,1991-03-25,1991,84
SP,secchi_all,1992-06-15,1992,167
SP,secchi_all,1993-08-23,1993,235
SP,secchi_all,1994-02-21,1994,52
SP,secchi_all,1995-09-06,1995,249
SP,secchi_all,1996-09-05,1996,249
SP,secchi_all,1997-07-29,1997,210
SP,secchi_all,1998-08-12,1998,224
SP,secchi_all,1999-07-28,1999,209
SP,secchi_all,2000-10-03,2000,277
SP,secchi_all,2001-07-24,2001,205
SP,secchi_all,2002-07-30,2002,211
SP,secchi_all,2003-08-20,2003,232
SP,secchi_all,2004-04-07,2004,98
SP,secchi_all,2005-06-13,2005,164
