Lake,Sample Date,Depth (m),rep,corrected chloro a,uncor. chloro a
ME,06/06/2000,12,1,1.433163,1.771429
ME,06/06/2000,0-2,1,2.287202,2.652778
ME,06/06/2000,0-2,2,3.127329,3.710145
ME,06/06/2000,0-8,1,3.017598,3.637681
ME,06/19/2000,0-2,1,5.434332,6.129032
ME,06/19/2000,0-2,2,6.787667,7.664063
ME,06/19/2000,0-8,1,7.645368,8.421875
ME,07/03/2000,0,1,2.748283,3.019231
ME,07/03/2000,2,1,3.047500,3.400000
ME,07/03/2000,4,1,3.171366,3.763158
ME,07/03/2000,6,1,5.621212,6.378788
ME,07/03/2000,8,1,2.157300,2.470588
ME,07/03/2000,10,1,1.306973,1.535714
ME,07/03/2000,12,1,1.372321,1.760000
ME,07/03/2000,0-2,1,4.043831,4.718182
ME,07/03/2000,0-2,2,4.053571,4.669811
ME,07/03/2000,0-8,1,3.042092,3.410714
ME,07/17/2000,0-2,1,23.129791,25.280488
ME,07/17/2000,0-2,2,13.926020,15.369048
ME,07/17/2000,0-8,1,13.541209,14.987179
ME,07/31/2000,0,1,27.519231,30.730769
ME,07/31/2000,2,1,12.168367,14.265306
ME,07/31/2000,4,1,27.484286,30.720000
ME,07/31/2000,6,1,13.931429,16.070000
ME,07/31/2000,8,1,12.264942,14.367347
ME,07/31/2000,10,1,4.951605,6.355072
ME,07/31/2000,12,1,0.852826,1.560440
ME,07/31/2000,0-2,1,18.597321,20.850000
ME,07/31/2000,0-2,2,14.222008,16.175676
ME,07/31/2000,0-8,1,14.080539,16.295918
ME,08/16/2000,0-2,1,16.049183,19.207627
ME,08/16/2000,0-2,2,17.501171,18.959016
ME,08/16/2000,0-8,1,15.781696,17.212500
ME,08/28/2000,0,1,8.085792,9.750000
ME,08/28/2000,2,1,8.476708,10.097826
ME,08/28/2000,4,1,29.167208,31.772727
ME,08/28/2000,6,1,10.272693,12.218750
ME,08/28/2000,8,1,8.068705,9.932203
ME,08/28/2000,10,1,17.612444,19.406250
ME,08/28/2000,12,1,1.430398,1.977273
ME,08/28/2000,0-2,1,23.786905,26.055556
ME,08/28/2000,0-2,2,9.633291,11.258929
ME,08/28/2000,0-8,1,23.837167,25.779661
ME,09/25/2000,0-2,1,3.133730,4.700000
ME,09/25/2000,0-2,2,5.128098,6.954082
