lakeid,metric,sampledate,year,daynum
CR,iceoff,2004-04-19,2004,110
CR,iceoff,2005-04-15,2005,105
CR,iceoff,2006-04-13,2006,103
CR,iceoff,2007-04-12,2007,102
CR,iceoff,2008-04-30,2008,121
CR,iceoff,2009-04-20,2009,110
CR,iceoff,2010-03-29,2010,88
CR,iceoff,2011-04-28,2011,118
CR,iceoff,2012-03-20,2012,80
CR,iceoff,2013-05-08,2013,128
CR,iceoff,2014-05-07,2014,127
CR,iceoff,2015-04-14,2015,104
CR,iceoff,2016-04-18,2016,109
CR,iceoff,2017-04-09,2017,99
CR,iceoff,2018-05-07,2018,127
CR,iceoff,2019-04-26,2019,116
CR,iceoff,2020-04-28,2020,119
SP,iceoff,1982-05-04,1982,124
SP,iceoff,1983-04-30,1983,120
SP,iceoff,1984-04-21,1984,112
SP,iceoff,1985-04-22,1985,112
SP,iceoff,1986-04-12,1986,102
SP,iceoff,1987-04-12,1987,102
SP,iceoff,1988-04-14,1988,105
SP,iceoff,1989-04-26,1989,116
SP,iceoff,1990-04-17,1990,107
SP,iceoff,1991-04-22,1991,112
SP,iceoff,1992-05-01,1992,122
SP,iceoff,1993-05-02,1993,122
SP,iceoff,1994-04-22,1994,112
SP,iceoff,1995-04-25,1995,115
SP,iceoff,1996-05-12,1996,133
SP,iceoff,1997-04-29,1997,119
SP,iceoff,1998-04-09,1998,99
SP,iceoff,1999-04-16,1999,106
SP,iceoff,2000-04-03,2000,94
SP,iceoff,2001-04-23,2001,113
SP,iceoff,2002-04-19,2002,109
SP,iceoff,2003-04-25,2003,115
SP,iceoff,2004-04-19,2004,110
SP,iceoff,2005-04-15,2005,105
SP,iceoff,2006-04-14,2006,104
SP,iceoff,2007-04-16,2007,106
SP,iceoff,2008-05-02,2008,123
SP,iceoff,2009-04-23,2009,113
SP,iceoff,2010-03-31,2010,90
SP,iceoff,2011-04-26,2011,116
SP,iceoff,2012-03-20,2012,80
SP,iceoff,2013-05-10,2013,130
SP,iceoff,2014-05-09,2014,129
SP,iceoff,2015-04-15,2015,105
SP,iceoff,2016-04-18,2016,109
SP,iceoff,2017-04-09,2017,99
SP,iceoff,2018-05-05,2018,125
SP,iceoff,2019-05-01,2019,121
SP,iceoff,2020-04-28,2020,119
TB,iceoff,1982-05-03,1982,123
TB,iceoff,1983-04-28,1983,118
TB,iceoff,1984-04-19,1984,110
TB,iceoff,1985-04-23,1985,113
TB,iceoff,1986-04-14,1986,104
TB,iceoff,1987-04-12,1987,102
TB,iceoff,1988-04-15,1988,106
TB,iceoff,1989-04-26,1989,116
TB,iceoff,1990-04-23,1990,113
TB,iceoff,1991-04-19,1991,109
TB,iceoff,1992-04-29,1992,120
TB,iceoff,1993-04-28,1993,118
TB,iceoff,1994-04-20,1994,110
TB,iceoff,1995-04-27,1995,117
TB,iceoff,1996-05-09,1996,130
TB,iceoff,1997-04-29,1997,119
TB,iceoff,1998-04-11,1998,101
TB,iceoff,1999-04-15,1999,105
TB,iceoff,2000-04-04,2000,95
TB,iceoff,2001-04-23,2001,113
TB,iceoff,2002-04-24,2002,114
TB,iceoff,2003-04-23,2003,113
TB,iceoff,2004-04-21,2004,112
TB,iceoff,2005-04-15,2005,105
TB,iceoff,2006-04-13,2006,103
TB,iceoff,2007-04-18,2007,108
TB,iceoff,2008-04-30,2008,121
TB,iceoff,2009-04-22,2009,112
TB,iceoff,2010-03-31,2010,90
TB,iceoff,2011-05-01,2011,121
TB,iceoff,2012-03-26,2012,86
TB,iceoff,2013-05-09,2013,129
TB,iceoff,2014-05-09,2014,129
TB,iceoff,2015-04-13,2015,103
TB,iceoff,2016-04-18,2016,109
TB,iceoff,2017-04-15,2017,105
TB,iceoff,2018-05-06,2018,126
TB,iceoff,2019-04-25,2019,115
TB,iceoff,2020-04-26,2020,117
TR,iceoff,1982-05-04,1982,124
TR,iceoff,1983-05-02,1983,122
TR,iceoff,1984-04-26,1984,117
TR,iceoff,1985-04-24,1985,114
TR,iceoff,1986-04-15,1986,105
TR,iceoff,1987-04-16,1987,106
TR,iceoff,1988-04-27,1988,118
TR,iceoff,1989-05-03,1989,123
TR,iceoff,1990-04-23,1990,113
TR,iceoff,1991-04-26,1991,116
TR,iceoff,1992-04-30,1992,121
TR,iceoff,1993-05-07,1993,127
TR,iceoff,1994-04-25,1994,115
TR,iceoff,1995-05-02,1995,122
TR,iceoff,1996-05-17,1996,138
TR,iceoff,1997-05-01,1997,121
TR,iceoff,1998-04-11,1998,101
TR,iceoff,1999-04-23,1999,113
TR,iceoff,2000-04-07,2000,98
TR,iceoff,2001-04-23,2001,113
TR,iceoff,2002-04-24,2002,114
TR,iceoff,2003-04-28,2003,118
TR,iceoff,2004-04-21,2004,112
TR,iceoff,2005-04-16,2005,106
TR,iceoff,2006-04-16,2006,106
TR,iceoff,2007-04-22,2007,112
TR,iceoff,2008-05-05,2008,126
TR,iceoff,2009-04-27,2009,117
TR,iceoff,2010-04-02,2010,92
TR,iceoff,2011-04-30,2011,120
TR,iceoff,2012-03-20,2012,80
TR,iceoff,2013-05-14,2013,134
TR,iceoff,2014-05-10,2014,130
TR,iceoff,2015-04-19,2015,109
TR,iceoff,2016-04-19,2016,110
TR,iceoff,2017-04-15,2017,105
TR,iceoff,2018-05-09,2018,129
TR,iceoff,2019-05-07,2019,127
TR,iceoff,2020-04-30,2020,121
ME,iceoff,1992-03-26,1992,86
ME,iceoff,1993-04-11,1993,101
ME,iceoff,1994-03-31,1994,90
ME,iceoff,1995-03-21,1995,80
ME,iceoff,1996-04-07,1996,98
ME,iceoff,1997-04-01,1997,91
ME,iceoff,1998-02-27,1998,58
ME,iceoff,1999-03-21,1999,80
ME,iceoff,2000-03-07,2000,67
ME,iceoff,2001-04-07,2001,97
ME,iceoff,2002-03-15,2002,74
ME,iceoff,2003-04-03,2003,93
ME,iceoff,2004-03-27,2004,87
ME,iceoff,2005-04-05,2005,95
ME,iceoff,2006-03-24,2006,83
ME,iceoff,2007-03-27,2007,86
ME,iceoff,2008-04-10,2008,101
ME,iceoff,2009-03-23,2009,82
ME,iceoff,2010-03-26,2010,85
ME,iceoff,2011-04-03,2011,93
ME,iceoff,2012-03-11,2012,71
ME,iceoff,2013-04-11,2013,101
ME,iceoff,2014-04-12,2014,102
ME,iceoff,2015-04-03,2015,93
ME,iceoff,2016-03-13,2016,73
ME,iceoff,2017-03-07,2017,66
ME,iceoff,2018-03-31,2018,90
ME,iceoff,2019-03-31,2019,90
ME,iceoff,2020-03-22,2020,82
MO,iceoff,1992-03-16,1992,76
MO,iceoff,1993-04-11,1993,101
MO,iceoff,1994-03-31,1994,90
MO,iceoff,1995-03-31,1995,90
MO,iceoff,1996-03-24,1996,84
MO,iceoff,1997-03-26,1997,85
MO,iceoff,1998-02-27,1998,58
MO,iceoff,1999-03-10,1999,69
MO,iceoff,2000-03-06,2000,66
MO,iceoff,2001-03-31,2001,90
MO,iceoff,2002-02-26,2002,57
MO,iceoff,2003-03-22,2003,81
MO,iceoff,2004-03-20,2004,80
MO,iceoff,2005-03-31,2005,90
MO,iceoff,2006-03-12,2006,71
MO,iceoff,2007-03-26,2007,85
MO,iceoff,2008-04-07,2008,98
MO,iceoff,2009-03-24,2009,83
MO,iceoff,2010-03-25,2010,84
MO,iceoff,2011-04-03,2011,93
MO,iceoff,2012-03-12,2012,72
MO,iceoff,2013-04-11,2013,101
MO,iceoff,2014-04-10,2014,100
MO,iceoff,2015-04-02,2015,92
MO,iceoff,2016-03-13,2016,73
MO,iceoff,2017-03-07,2017,66
MO,iceoff,2018-03-29,2018,88
MO,iceoff,2019-03-31,2019,90
