row,column,value,inhib_thresh,excit_thresh
0,0,0.0,0.30714369749359566,-0.11236969238856087
1,0,-0.02551439394977111,0.30714369749359566,-0.11236969238856087
2,0,-0.025725130554385797,0.30714369749359566,-0.11236969238856087
3,0,0.440487066902216,0.30714369749359566,-0.11236969238856087
4,0,0.6200717260211062,0.30714369749359566,-0.11236969238856087
5,0,-0.18688157483090895,0.30714369749359566,-0.11236969238856087
6,0,0.0745453793366893,0.30714369749359566,-0.11236969238856087
7,0,0.09562914417666978,0.30714369749359566,-0.11236969238856087
8,0,0.1864141222697689,0.30714369749359566,-0.11236969238856087
9,0,0.2686418016727147,0.30714369749359566,-0.11236969238856087
10,0,-0.012222862590956035,0.30714369749359566,-0.11236969238856087
11,0,0.06717419891428529,0.30714369749359566,-0.11236969238856087
0,1,-0.08704652507037573,0.30714369749359566,-0.11236969238856087
1,1,0.0,0.30714369749359566,-0.11236969238856087
2,1,-0.12209058082025626,0.30714369749359566,-0.11236969238856087
3,1,1.2285747899743826,0.30714369749359566,-0.11236969238856087
4,1,0.4691476092157637,0.30714369749359566,-0.11236969238856087
5,1,0.13733970689577796,0.30714369749359566,-0.11236969238856087
6,1,-0.15949307077523756,0.30714369749359566,-0.11236969238856087
7,1,0.19859534620673558,0.30714369749359566,-0.11236969238856087
8,1,0.16662964236308198,0.30714369749359566,-0.11236969238856087
9,1,-0.4869353336837639,0.30714369749359566,-0.11236969238856087
10,1,-0.026298962618198474,0.30714369749359566,-0.11236969238856087
11,1,-0.14644082770804925,0.30714369749359566,-0.11236969238856087
0,2,0.30285044704660485,0.30714369749359566,-0.11236969238856087
1,2,0.24386719026022255,0.30714369749359566,-0.11236969238856087
2,2,0.0,0.30714369749359566,-0.11236969238856087
3,2,-0.03161008918894819,0.30714369749359566,-0.11236969238856087
4,2,0.11377787195389395,0.30714369749359566,-0.11236969238856087
5,2,0.5405597422784905,0.30714369749359566,-0.11236969238856087
6,2,-0.30612275185849147,0.30714369749359566,-0.11236969238856087
7,2,0.16168136211607517,0.30714369749359566,-0.11236969238856087
8,2,0.17737975221546542,0.30714369749359566,-0.11236969238856087
9,2,0.41106761921319446,0.30714369749359566,-0.11236969238856087
10,2,0.060053893129430366,0.30714369749359566,-0.11236969238856087
11,2,0.1375232129020294,0.30714369749359566,-0.11236969238856087
0,3,-0.10120346769028446,0.30714369749359566,-0.11236969238856087
1,3,-0.06821165706603255,0.30714369749359566,-0.11236969238856087
2,3,-0.06089324566232002,0.30714369749359566,-0.11236969238856087
3,3,0.0,0.30714369749359566,-0.11236969238856087
4,3,-0.22980504146884895,0.30714369749359566,-0.11236969238856087
