lakeid,metric,node
FI,chlor_all,1
FI,doc,2
FI,iceon,3
FI,iceoff,4
FI,straton,5
FI,stratoff,6
FI,energy,7
FI,stability,8
FI,anoxia_summer,9
FI,secchi_openwater,10
FI,daphnia_biomass,11
