lakeid,metric,node
BM,chlor_fall,1
BM,chlor_spring,2
BM,doc,3
BM,iceon,4
BM,iceoff,5
BM,straton,6
BM,stratoff,7
BM,energy,8
BM,stability,9
BM,anoxia_summer,10
BM,secchi_openwater,11
BM,daphnia_biomass,12
