lakeid,metric,node
WI,chlor_all,1
WI,doc,2
WI,iceon,3
WI,iceoff,4
WI,straton,5
WI,stratoff,6
WI,energy,7
WI,stability,8
WI,anoxia_summer,9
WI,secchi_openwater,10
WI,daphnia_biomass,11
