lakeid,metric,node
CB,chlor_all,1
CB,doc,2
CB,iceon,3
CB,iceoff,4
CB,straton,5
CB,stratoff,6
CB,energy,7
CB,stability,8
CB,anoxia_summer,9
CB,secchi_openwater,10
CB,daphnia_biomass,11
