lakeid,metric,node
TB,chlor_all,1
TB,doc,2
TB,iceon,3
TB,iceoff,4
TB,straton,5
TB,stratoff,6
TB,energy,7
TB,stability,8
TB,anoxia_summer,9
TB,secchi_openwater,10
TB,daphnia_biomass,11
