lakeid,metric,node
SP,chlor_all,1
SP,doc,2
SP,iceon,3
SP,iceoff,4
SP,straton,5
SP,stratoff,6
SP,energy,7
SP,stability,8
SP,anoxia_summer,9
SP,secchi_openwater,10
SP,daphnia_biomass,11
