lakeid,metric,node
TR,chlor_all,1
TR,doc,2
TR,iceon,3
TR,iceoff,4
TR,straton,5
TR,stratoff,6
TR,energy,7
TR,stability,8
TR,anoxia_summer,9
TR,secchi_openwater,10
TR,daphnia_biomass,11
