lakeid,metric,sampledate,year,daynum
ME,doc,2016-01-27,2016,27
ME,doc,2017-12-19,2017,353
ME,doc,2018-07-09,2018,190
MO,doc,1996-07-09,1996,191
MO,doc,1997-09-30,1997,273
MO,doc,1998-08-02,1998,214
MO,doc,1999-10-26,1999,299
MO,doc,2000-03-13,2000,73
MO,doc,2001-11-26,2001,330
MO,doc,2002-09-24,2002,267
MO,doc,2003-08-05,2003,217
MO,doc,2004-07-07,2004,189
MO,doc,2005-08-03,2005,215
MO,doc,2006-07-12,2006,193
MO,doc,2007-07-09,2007,190
MO,doc,2008-07-08,2008,190
MO,doc,2009-09-30,2009,273
MO,doc,2010-04-12,2010,102
MO,doc,2011-06-14,2011,165
MO,doc,2012-10-02,2012,276
MO,doc,2013-02-05,2013,36
MO,doc,2014-06-10,2014,161
MO,doc,2015-10-07,2015,280
MO,doc,2016-02-04,2016,35
MO,doc,2017-09-12,2017,255
MO,doc,2018-06-12,2018,163
SP,doc,1986-08-11,1986,223
SP,doc,1987-02-24,1987,55
SP,doc,1988-08-16,1988,229
SP,doc,1989-01-12,1989,12
SP,doc,1990-09-19,1990,262
SP,doc,1991-09-23,1991,266
SP,doc,1992-03-01,1992,61
SP,doc,1993-07-27,1993,208
SP,doc,1994-07-27,1994,208
SP,doc,1995-07-24,1995,205
SP,doc,1996-09-05,1996,249
SP,doc,1997-02-17,1997,48
SP,doc,1998-01-12,1998,12
SP,doc,1999-08-23,1999,235
SP,doc,2000-09-18,2000,262
SP,doc,2001-01-22,2001,22
SP,doc,2002-08-14,2002,226
SP,doc,2003-11-13,2003,317
SP,doc,2004-07-21,2004,203
SP,doc,2005-06-13,2005,164
SP,doc,2006-02-13,2006,44
SP,doc,2007-01-15,2007,15
SP,doc,2008-01-17,2008,17
SP,doc,2009-07-22,2009,203
SP,doc,2010-10-26,2010,299
SP,doc,2011-02-14,2011,45
SP,doc,2012-01-12,2012,12
SP,doc,2013-03-29,2013,88
SP,doc,2014-06-17,2014,168
SP,doc,2015-09-08,2015,251
SP,doc,2016-01-21,2016,21
SP,doc,2017-07-10,2017,191
SP,doc,2018-07-11,2018,192
TB,doc,1986-04-21,1986,111
TB,doc,1987-03-20,1987,79
TB,doc,1988-03-01,1988,61
TB,doc,1989-01-17,1989,17
TB,doc,1990-09-17,1990,260
TB,doc,1991-03-21,1991,80
TB,doc,1992-03-23,1992,83
TB,doc,1993-02-24,1993,55
TB,doc,1994-02-24,1994,55
TB,doc,1995-02-14,1995,45
TB,doc,1996-01-17,1996,17
TB,doc,1997-09-24,1997,267
TB,doc,1998-02-18,1998,49
TB,doc,1999-09-20,1999,263
TB,doc,2000-01-27,2000,27
TB,doc,2001-04-03,2001,93
TB,doc,2002-01-17,2002,17
TB,doc,2003-02-20,2003,51
TB,doc,2004-02-19,2004,50
TB,doc,2005-01-20,2005,20
TB,doc,2006-01-12,2006,12
TB,doc,2007-01-23,2007,23
TB,doc,2008-02-25,2008,56
TB,doc,2009-01-22,2009,22
TB,doc,2010-11-15,2010,319
TB,doc,2011-09-20,2011,263
TB,doc,2012-01-10,2012,10
TB,doc,2013-11-08,2013,312
TB,doc,2014-03-28,2014,87
TB,doc,2015-03-24,2015,83
TB,doc,2016-11-16,2016,321
TB,doc,2017-07-10,2017,191
TB,doc,2018-02-23,2018,54
TR,doc,1986-08-12,1986,224
TR,doc,1987-08-10,1987,222
TR,doc,1988-08-15,1988,228
